carrier,delayed,cancelled,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
9E,29093,4608,200094,8606,4898,3458,2475,1830,1465,1164,899,733,593,473,351,292,257,196,1403
AA,247939,15252,984306,72774,43594,29699,21295,15544,11814,9115,7053,5605,4531,3678,2970,2454,1959,1623,14231
AS,48463,4811,245819,20177,10169,5809,3474,2268,1541,1072,822,639,508,374,306,217,200,161,726
B6,61006,3735,240282,17716,10599,7048,5263,4056,3077,2408,1818,1508,1248,993,833,649,576,484,2730
DL,171605,9147,1009174,60440,31689,19618,12868,9197,6865,5135,4070,3293,2622,2093,1821,1544,1284,1044,8022
F9,56401,4835,208624,15970,10266,7119,4943,3717,2827,2218,1731,1316,972,815,645,561,411,347,2543
G4,24470,2018,117210,7717,4290,2783,1871,1471,1042,865,685,534,461,363,295,240,189,185,1479
HA,10340,822,78530,5293,2003,1011,637,368,263,164,113,82,66,41,40,26,11,11,211
MQ,51732,3985,279955,17927,9826,6200,4200,3126,2293,1636,1250,987,767,612,502,398,305,253,1450
NK,63920,4998,261103,20397,11829,7534,5513,4119,3048,2312,1742,1306,1081,838,671,575,493,364,2098
OH,44334,3751,227971,12754,7289,5001,3702,2766,2184,1800,1384,1189,985,771,630,494,398,359,2628
OO,126228,8527,744658,35333,21499,15270,11036,8349,6356,5026,3900,2969,2439,1931,1608,1315,1119,952,7126
UA,142115,12478,760451,43734,24646,16276,11817,9058,6907,5539,4305,3325,2684,2215,1797,1568,1222,1091,5931
WN,328920,11772,1419419,140458,67669,37470,22727,15115,10799,7805,5807,4424,3525,2756,2110,1760,1416,1019,4060
YX,34566,5576,301465,10691,6171,4237,2915,2166,1708,1343,1043,824,608,536,413,316,279,203,1113
